URL,Tieu de hien tai,Cum hien tai,Cum de xuat,Loai gap,Chi tiet gap,Uu tien,Do sau research
/keyword-research/,Keyword Research: Quy Trình 5 Bước Chuẩn Agency,Nghiên cứu từ khoá,Nghiên cứu từ khoá,Giá công cụ lỗi thời + thiếu mảng AI Search,"Giá Ahrefs ghi ""$99/tháng"" đã lỗi thời - giá thật hiện tại $129/tháng (gói Lite). Gap lớn hơn: KHÔNG đề cập nghiên cứu từ khoá cho AI Search/GEO dù site đang có 5 bài riêng về AI/GEO.",Cao,Sâu
/keyword-clustering/,Keyword Clustering Là Gì? SERP Overlap và Topic Authority,Nghiên cứu từ khoá,Nghiên cứu từ khoá,Không có gap lớn,"Phương pháp SERP overlap, ví dụ thực tế, bảng so sánh công cụ - nội dung vững.",Thấp,Nhanh
/thong-cao-bao-chi-xu-ly-khung-hoang/,Thông Cáo Báo Chí Xử Lý Khủng Hoảng: Mẫu Và Cách Viết,Booking báo & PR,Booking báo & PR (subcluster Thông cáo báo chí),"Đúng dạng, gap nhỏ","Đối thủ (accgroup, miccreative) mỏng hơn hẳn - Digicom có 3 loại khủng hoảng, khung giờ phát hành, ai duyệt-ký, 3 luật VN liên quan, sâu hơn SERP. Gap còn lại: chưa có ví dụ/case thực tế công khai.",Thấp,Sâu (fetch 2 đối thủ thật)
/mau-thong-cao-bao-chi/,Mẫu Thông Cáo Báo Chí: Tổng Hợp Theo Từng Mục Đích,Booking báo & PR,Booking báo & PR (subcluster Thông cáo báo chí),Thiếu tính năng so với đối thủ,"Digicom 9 mẫu ngang miccreative. luatvietnam.vn có nút ""Tải về/Sửa & In"" file .docx cho từng mẫu - Digicom không có file tải về, chỉ hiển thị text.",TB,Sâu (fetch 2 đối thủ thật)
/cach-viet-thong-cao-bao-chi-chuan/,"Cách Viết Thông Cáo Báo Chí Chuẩn: Cấu Trúc, 5W1H, Ví Dụ",Booking báo & PR,Gộp/rút gọn với thong-cao-bao-chi-la-gi,CANNIBALIZATION NỘI BỘ,"H2 ""Cấu trúc 6 phần"" và ""Lỗi thường gặp"" TRÙNG gần như nguyên vẹn với 2 mục trong bài /thong-cao-bao-chi-la-gi/. 2 bài tự cạnh tranh cùng 1 khúc nội dung. Điểm riêng đáng giữ: SOLAADS, mô hình tháp ngược - không đối thủ nào có.",Cao,Sâu (đối chiếu nội bộ + search)
/thong-cao-bao-chi-la-gi/,"Thông Cáo Báo Chí Là Gì? Định Nghĩa, Vai Trò, Ai Viết",Booking báo & PR,"Thu hẹp phạm vi, trỏ link sang bài cách-viết",CANNIBALIZATION NỘI BỘ (cùng cặp trên),"Cùng bằng chứng: H2 ""Cấu trúc và mẫu"" + ""Lỗi thường gặp"" lặp lại đúng nội dung bài kia. Đề xuất rút gọn còn vài câu + link ""Xem chi tiết →"". Nên GIỮ: H2 ""Thông cáo báo chí khác gì bài PR báo chí"" - 7 đối thủ top không bài nào có góc so sánh này, lợi thế thật của agency bán cả 2 dịch vụ.",Cao,Sâu (đối chiếu nội bộ + search)
/mua-backlink-bao-la-gi/,Mua Backlink Báo Là Gì? Khác Gì Booking Báo & PR?,Booking báo & PR,"""Ranh giới dịch vụ"" - cross-link Backlink + Booking báo PR",Định vị cụm chưa đúng + có thể lệch dạng SERP,"SERP 8/8 top toàn trang BÁN backlink báo (mdigi, famemedia, litado...), 0/8 so sánh với booking báo PR. Bài Digicom là bài DUY NHẤT làm việc này - info gain thật nhưng volume tìm kiếm intent định nghĩa có thể thấp; giá trị chủ yếu định vị nội bộ giúp khách chọn dịch vụ.",TB,Sâu (fetch mdigi.vn)
/co-nen-mua-backlink-khong/,Có Nên Mua Backlink Không? Rủi Ro và Cách Chọn Uy Tín,Booking báo & PR,"""Ranh giới dịch vụ"" cùng nhóm trên",Thiếu 1 mục so với đối thủ,"seotoro.vn có mục ""Phân biệt backlink tự nhiên và backlink mua"" mà Digicom không có. Ngược lại Digicom sâu hơn ở việc gọi tên PBN/link farm/SpamBrain cụ thể (seotoro chỉ nói chung chung).",TB,Sâu (fetch seotoro.vn)
/mua-textlink-la-gi/,Mua Textlink Là Gì? Có Nên Mua Textlink Cho SEO Không?,Off-page service knowledge,Textlink - kiến thức nền (definitional),Nhỏ - thiếu nguồn trích dẫn,"SERP top (seovip, winnet, seodo, gtvseo, hapodigital) đều dạng ""textlink là gì"" định nghĩa; Digicom đã có bảng giá minh hoạ thật (hanoitimes.vn DR53, 700k-1,4tr) + FAQ 4 câu - vượt hẳn đối thủ (đa số không công khai giá). Gap nhỏ: câu ""có bị Google phạt không"" chưa link nguồn Google Search Central.",Thấp,Nhanh
/guest-post-la-gi/,Guest Post Là Gì? Cách Triển Khai Hiệu Quả Cho SEO,Off-page service knowledge,Guest Post - kiến thức nền (definitional),Thiếu độ sâu nội dung + thiếu FAQ,"SERP top 9/9 (vietnix, mona, sapo, gtvseo, seodo, seongon...) đều là bài định nghĩa dài, đa số có mục ""N cách xây dựng Guest Post"". Bài Digicom chỉ ~800-900 từ, bỏ qua phần giáo dục tổng quan, mỏng hơn hẳn đối thủ. Không có FAQ.",Cao,Nhanh
/textlink-khac-backlink-the-nao/,Textlink khác Backlink như thế nào?,Off-page service knowledge,Textlink vs Backlink - so sánh,Nhỏ,"SERP top đa số dạng so sánh/định nghĩa - bài Digicom có bảng so sánh 5 tiêu chí, khớp dạng. Thiếu trích nguồn uy tín ngoài (Google/Ahrefs).",Thấp,Nhanh
/dich-vu-guest-post-gia-bao-nhieu/,Dịch Vụ Guest Post Giá Bao Nhiêu? Nên Mua Ở Đâu,Off-page service knowledge,Guest Post - bảng giá/chi phí,Không đáng kể (điểm mạnh),"SERP top đều là trang dịch vụ bán hàng, hầu hết KHÔNG công khai khung giá. Digicom đưa khung giá thật ngay đầu bài (700k-11,5tr) - info gain rõ.",Thấp,Nhanh
/dich-vu-backlink-gia-bao-nhieu/,Dịch Vụ Backlink Giá Bao Nhiêu? Cách Chọn Đơn Vị Uy Tín,Off-page service knowledge,Backlink - bảng giá/chi phí,Không đáng kể,"SERP top toàn trang dịch vụ, giá mập mờ. Digicom có bảng giá gói cụ thể A1/B1/C1 - vượt trội.",Thấp,Nhanh
/top-site-guest-post-uy-tin/,Top Site Nhận Đăng Guest Post Uy Tín Theo Từng Lĩnh Vực,Off-page service knowledge,Guest Post - danh sách site (listicle),LỆCH DẠNG SERP (nghiêm trọng nhất),"Từ khoá có tín hiệu listicle rõ (""top"", ""site"") nhưng SERP top thực tế là ""Top N đơn vị/dịch vụ guest post"" (bảng xếp hạng nhà cung cấp), không phải site đơn lẻ kèm DR/DA. Bài Digicom hiện là guide giáo dục, chỉ nhắc TÊN 8 site rải trong văn bản, KHÔNG bảng, KHÔNG chỉ số DR/DA - lệch tiêu đề đang hứa hẹn. Cần audit_intent đầy đủ (đọc toàn văn top 10) trước khi sửa.",Cao,Nhanh (cần research sâu thêm trước khi sửa)
/quy-trinh-trien-khai-guest-post/,Quy Trình Triển Khai Guest Post Hiệu Quả Cho SEO,Off-page service knowledge,Guest Post - quy trình triển khai (how-to),Nhỏ - thiếu internal link,"SERP top đa số gộp chung ""là gì + quy trình"", ít bài tách riêng 6 bước chi tiết như Digicom - điểm mạnh. Gap: chỉ 1 internal link về /guest-post/ trong toàn bài ~2000-2500 từ.",TB,Nhanh
/backlink-bat-dong-san/,Backlink Chất Lượng Bất Động Sản: Tiêu Chí Chọn Site 2026,Off-page service knowledge,Backlink - ngách Bất động sản,Không đáng kể (đã đúng hướng),"SERP top là bài hướng dẫn/danh sách chung chung, không bài nào tách sâu ""rủi ro riêng"" (link farm, cờ bạc đội lốt BĐS) như Digicom - info gain rõ.",Thấp,Nhanh
/mua-textlink-edu-gov/,Mua Textlink EDU/GOV: Đặc Điểm Và Khi Nào Nên Dùng,Off-page service knowledge,Textlink - compliance/rủi ro pháp lý (EDU-GOV),Không phải content gap - định vị có chủ đích,SERP top đa số ĐANG BÁN dịch vụ này. Digicom từ chối dứt khoát - đúng 100% rule nội bộ khong-ban-gov-edu.md. Không cần sửa theo hướng thương mại.,Thấp,Nhanh
/ty-le-anchor-text-chuan/,Anchor Text Là Gì? Các Loại Và Tỷ Lệ Chuẩn Cho SEO 2026,Backlink knowledge base,Dịch vụ Backlink,Chênh lệch số liệu nhỏ,"Bảng tỷ lệ anchor lệch nhẹ so với 1 vài nguồn khác (Digicom brand 60-70% vs gobranding 40-45%) - không phải lỗi cấu trúc, đúng dạng SERP",TB,Nhanh
/trust-flow/,Trust Flow Là Gì? Chỉ Số Majestic Và Cách Dùng,Backlink knowledge base,Đo lường & chỉ số SEO (độc lập),Không có gap nghiêm trọng,"Khớp dạng SERP, có thêm TF/CF ratio + Topical TF vượt đối thủ",Thấp,Nhanh
/page-authority/,Page Authority (PA) Là Gì? Khi Nào PA Quan Trọng Hơn DA,Backlink knowledge base,Đo lường & chỉ số SEO (độc lập),Không có gap nghiêm trọng,"Khớp dạng SERP, có bảng so sánh PA/DA là điểm mạnh",Thấp,Nhanh
/domain-rating/,Domain Rating (DR) Là Gì? Benchmark Ngành và Cách Tăng DR Thực Chiến,Backlink knowledge base,Đo lường & chỉ số SEO (độc lập),Thiếu external link E-E-A-T,"Chỉ nhắc tên Ahrefs/Moz/Majestic, không link; đối thủ vinahost.vn link thẳng Ahrefs + 2 tool free khác",TB,Sâu
/domain-authority/,Domain Authority (DA) Là Gì? So Sánh DA vs DR và Cách Tăng DA Bền Vững,Backlink knowledge base,Đo lường & chỉ số SEO (độc lập),Thiếu external link E-E-A-T,"Đối thủ link trực tiếp Moz Link Explorer/MozBar, Digicom chỉ nhắc tên - vi phạm rule external-link-eeat.md",TB,Sâu
/citation-flow/,Citation Flow Là Gì? Chỉ Số Majestic và TF/CF Ratio,Backlink knowledge base,Đo lường & chỉ số SEO (độc lập),Không có gap nghiêm trọng,"Có case study TF/CF ratio, vượt trội đối thủ",Thấp,Nhanh
/trao-doi-backlink/,Trao Đổi Backlink An Toàn: Mô Hình Và Quy Trình Thực Chiến,Backlink knowledge base,Dịch vụ Backlink,Thiếu external link E-E-A-T,Cảnh báo Link Scheme/Penguin nhưng không link nguồn chính thức; đối thủ seoviet.vn link thẳng chính sách chống spam Google,Cao,Sâu
/phan-mem-di-back-link/,Phần Mềm Đi Backlink: Review Top Tool Tự Động Tốt Nhất,Backlink knowledge base,Dịch vụ Backlink,Mâu thuẫn định vị thương hiệu,"Quảng bá tool rủi ro cao (GSA SER, Scrapebox - gắn PBN/spam) trong khi Digicom định vị ""Không PBN""",TB,Nhanh
/kiem-tra-backlink/,Kiểm Tra Backlink: Top Công Cụ Và Hướng Dẫn Chi Tiết,Backlink knowledge base,Dịch vụ Backlink,Thiếu external link E-E-A-T + nội dung mỏng hơn đối thủ,"Trích ""Brian Dean"", ""John Mueller"" + số liệu ""hơn 90%"" không có link nguồn (case gốc trong rule dự án, chưa sửa); đối thủ có 15 tool kèm bảng so sánh, Digicom chỉ 5",Cao,Sâu
/dien-dan-di-backlink/,"Danh Sách 43 Diễn Đàn Đi Backlink Còn Sống, Đã Đo DR Thật (7/2026)",Backlink knowledge base,Dịch vụ Backlink,Nội dung mỏng hơn đối thủ dẫn đầu (số lượng),"Đã đúng intent danh sách + DR thật, minh bạch loại link chết - vượt trội phanmemmkt.vn nhưng vẫn ít hơn danaseo.net (100 diễn đàn)",Thấp,Sâu
/dich-vu-backlink-tong-quan/,"Dịch Vụ Backlink Báo Chí: Không PBN, Index Bền Vững",Backlink knowledge base,Dịch vụ Backlink,Trùng lặp/cannibalization + giá không khớp hệ thống chính,"Thực chất trang bán hàng (~8.000 từ, 3 gói giá riêng 3.5-15tr+) trùng chức năng pillar /dich-vu-backlink/, giá không khớp CPT dgc_gia - rủi ro 2 nguồn giá mâu thuẫn. CẦN HIẾU QUYẾT ĐỊNH: gộp vào pillar hay xoá/redirect",Cao,Nhanh
/di-backlink-cho-fanpage/,Đi Backlink Cho Fanpage: Bí Kíp SEO Ký Sinh Hiệu Quả,Backlink knowledge base,Backlink Social Entity,Lệch một phần intent,"SERP top là hướng dẫn cơ bản, bài Digicom đi sâu 4 mô hình nâng cao - phức tạp hơn nhu cầu phổ biến",TB,Nhanh
/backlink-dofollow-va-nofollow/,Backlink Dofollow Và Nofollow: So Sánh Chi Tiết,Backlink knowledge base,Kỹ thuật đi backlink (độc lập),Không có gap nghiêm trọng,"Có bảng so sánh + code HTML + quiz, dài/trực quan hơn 2 đối thủ top",Thấp,Sâu
/back-link-hieu-qua/,Cách Đi Backlink Hiệu Quả: 7 Kỹ Thuật Thực Chiến,Backlink knowledge base,Dịch vụ Backlink,Không có gap nghiêm trọng,"Có ma trận 5 tiêu chí + bảng đo ROI, khớp dạng SERP",Thấp,Nhanh
/back-link-gov/,Backlink Gov Edu: Sự Thật Về Các Danh Sách Đang Lan Truyền,Backlink knowledge base,Rủi ro & tuân thủ backlink (độc lập),Đã tuân thủ - không có gap,"Xác nhận trên live có H2 ""hành vi vi phạm pháp luật"" + từ chối bán dứt khoát, đã sửa đúng theo rule 2026-07-20",Thấp,Nhanh
/back-link-chat-luong/,Backlink Chất Lượng Cao: Tiêu Chí Đánh Giá Và Xây Dựng,Backlink knowledge base,Dịch vụ Backlink,Thiếu info gain/số liệu + thiếu external link E-E-A-T,"Không trích số liệu/nghiên cứu; đối thủ eqvn.net trích Backlinko ""gấp 3,8 lần"" kèm ví dụ Forbes/Wikipedia",TB,Sâu
/backlink/,Backlink Là Gì? Hướng Dẫn A-Z Xây Dựng Backlink Chất Lượng,Backlink knowledge base,Dịch vụ Backlink,Thiếu 1 framework chuẩn ngành,"Bài đã rất đầy đủ (8.500-9.000 từ, external link chuẩn) nhưng thiếu mục ""3 mô hình backlink"" (Wheel/Pyramid/Star) mà 2 đối thủ top đều có",TB,Sâu
/spambrain/,SpamBrain Google: Thuật Toán AI Chống Spam Là Gì?,Backlink knowledge base,Rủi ro & tuân thủ backlink (độc lập),Không có gap nghiêm trọng,"Khớp dạng định nghĩa + lịch sử đúng mốc (2018, công bố tên 4/2022), có thêm quy trình audit",Thấp,Nhanh
/google-penguin/,"Google Penguin Là Gì? Lịch Sử 5 Phiên Bản, Dấu Hiệu Bị Phạt và Quy Trình Phục Hồi",Backlink knowledge base,Rủi ro & tuân thủ backlink (độc lập),Không có gap nghiêm trọng,"Liệt kê chi tiết 5 phiên bản (1.0-4.0 + real-time), đầy đủ hơn phần lớn đối thủ",Thấp,Nhanh
/url-chuan-seo/,"URL Chuẩn SEO: Cấu Trúc, 10 Ví Dụ Thực Tế",On-page & Content SEO,Technical SEO,Không có,"Bài đã có bảng 10 ví dụ + redirect 301, sâu hơn phần lớn đối thủ (VTC Academy, GTVseo, Mona). Không phát hiện gap.",Thấp,Nhanh
/topic-cluster/,Topic Cluster SEO: Hub-and-Spoke,On-page & Content SEO,Chiến lược nội dung & Topical Authority (gộp cùng pillar-page),Thiếu checklist thực hành,"Digicom có case study thật (keyword top10 3→27, traffic 180→1.240/tháng). Đối thủ có bảng checklist theo dõi cluster để tải/áp dụng ngay - Digicom chỉ liệt kê tool, không có template.",Thấp,Sâu
/toi-uu-heading-seo/,H1 H2 H3 SEO,On-page & Content SEO,Giữ nguyên,Không có,"Đối thủ dừng ở ""3-5 H2 chứa keyword""; Digicom có thêm 5 lỗi thực tế + liên hệ featured snippet - đã vượt đối thủ.",Thấp,Nhanh
/title-tag-seo/,Title Tag SEO: 7 Cấu Trúc Theo Intent,On-page & Content SEO,Giữ nguyên,Không có,Đối thủ chỉ nêu độ dài chung; Digicom có 7 cấu trúc theo intent + 10 lỗi kèm ví dụ sai/đúng.,Thấp,Nhanh
/thin-content/,Thin Content Là Gì?,On-page & Content SEO,Giữ nguyên,Không có,"Digicom có 5 loại theo phân loại Google + quy trình identify bằng Screaming Frog/GA4, đối thủ chỉ định nghĩa chung.",Thấp,Nhanh
/schema-markup/,Schema Markup: 10 Loại Quan Trọng,On-page & Content SEO,Technical SEO / Structured Data,Thiếu độ sâu + thiếu ví dụ thực tế,"Bài Digicom chỉ 2.248 từ, 1 khối JSON-LD. Đối thủ (gtvseo 8.000-10.000 từ) có code JSON-LD 80+ dòng, case study tên thật (Vinamilk, TOTO), số liệu CTR +58% vs +41%; đối thủ khác hướng dẫn cả 3 định dạng JSON-LD/RDFa/Microdata + nhiều loại schema hơn.",Cao,Sâu
/pillar-page/,Pillar Page Là Gì?,On-page & Content SEO,Chiến lược nội dung & Topical Authority (gộp cùng topic-cluster),Thiếu ví dụ thực hành + checklist,Đối thủ dựng ví dụ xuyên suốt bằng công ty giả định đi từng bước + checklist liên kết nội bộ. Digicom chỉ 1 câu tham chiếu HubSpot chung chung.,TB,Sâu
/on-page-seo/,On-Page SEO Là Gì? Checklist 20 Điểm,On-page & Content SEO,Giữ nguyên (đúng vai trò pillar),Thiếu minh hoạ trực quan + số liệu chưa gắn nguồn,"3.349 từ, 8 H2, 7 bảng nhưng 0 ảnh thật; đối thủ (ngắn hơn) vẫn có 11 hình minh hoạ. Bảng ""Lỗi On-Page phổ biến"" có 10 số liệu % không gắn nguồn. Điểm mạnh: mục GEO/AI Search mà đối thủ không có.",TB,Sâu
/meta-description/,Meta Description Chuẩn SEO,On-page & Content SEO,Giữ nguyên,Không có,Đối thủ chỉ nêu độ dài chung; Digicom có 4 template theo intent + 5 cặp ví dụ tốt/xấu.,Thấp,Nhanh
/internal-link/,Internal Link SEO: 3 Mô Hình,On-page & Content SEO,"Cân nhắc tách ""Internal Link & Site Structure""",Thiếu minh hoạ trực quan + thiếu độ sâu,"2.650 từ, 2 bảng, 0 ảnh/sơ đồ minh hoạ 3 mô hình - toàn chữ. Đối thủ có 15+ hình trực quan hoá 3 mô hình + case study + số liệu, hoặc sơ đồ + hướng dẫn 5-7 bước Screaming Frog.",Cao,Sâu
/featured-snippet/,Featured Snippet Là Gì?,On-page & Content SEO,SERP Features,Phân cụm (không phải gap nội dung),"Digicom phân 4 loại + mục AI Overview 2026, không thiếu nội dung, chỉ lệch bản chất chủ đề (hiện tượng SERP, không phải on-page kỹ thuật).",TB,Nhanh
/duplicate-content/,Duplicate Content SEO,On-page & Content SEO,Technical SEO,Phân cụm (không phải gap nội dung),Đối thủ đều xoay quanh giải pháp kỹ thuật (301/canonical/noindex) giống Digicom; chỉ lệch cụm (thiên kỹ thuật hơn content).,TB,Nhanh
/do-dai-noi-dung-seo/,Độ Dài Nội Dung SEO,On-page & Content SEO,Giữ nguyên,Không có,"Digicom dẫn cụ thể dữ liệu Backlinko 1.447 từ kèm giải thích, sâu hơn đối thủ (chỉ nêu range chung).",Thấp,Nhanh
/content-seo/,Content SEO: Framework 4 Giai Đoạn,On-page & Content SEO,Giữ nguyên làm pillar tổng,Thiếu phân loại & ví dụ theo ngành,"Đối thủ có mục ""Các dạng content chuẩn SEO ở Top 10"" với 8+ ví dụ theo ngành + case study thật + bảng so sánh Content SEO vs Content Marketing. Digicom không có.",TB,Sâu
/content-gap/,Content Gap Analysis,On-page & Content SEO,Content Strategy,Phân cụm (không phải gap nội dung),"Đối thủ mô tả quy trình dùng Ahrefs Content Gap tương tự Digicom - khớp dạng, chỉ lệch chủ đề (chiến lược, không phải on-page kỹ thuật).",TB,Nhanh
